"Job #","Borough","House #","Street Name","Block","Lot","Bin #","Job Type","Community - Board","Curb Cut","Fully Permitted","Initial Cost","Proposed Zoning Sqft","Horizontal Enlrgmt","Vertical Enlrgmt","Enlargement SQ Footage","Zoning Dist1","Job Description"
"200612337","BRONX","946","LEGGETT AVENUE","02685","00050","2005109","A1","202",,"04/02/2001","$480000.00","0",,,"0","C1-4","INTERIOR GUT REHABILITATION OF RESIDENTI AL APARTMENT BUILDING.APARTMENT REDISTRIBUTION,RELOCATION OF PARTITIONS, NEW KITCHEN AND BATHS."
"200612337","BRONX","946","LEGGETT AVENUE","02685","00050","2005109","A1","202",,"04/02/2001","$480000.00","0",,,"0","C1-4","INTERIOR GUT REHABILITATION OF RESIDENTI AL APARTMENT BUILDING.APARTMENT REDISTRIBUTION,RELOCATION OF PARTITIONS, NEW KITCHEN AND BATHS."
"200621336","BRONX","1216","BEACH AVENUE","03764","00013","2024720","A1","209",,,"$45000.00","0","Y",,"607","R5","APPLICATION FILED TO CONVERT APARTMENT T  O A USE GROUP 4E,DOCTOR OFFICE WITH A REAR EXTENTION,PLUMBING."
"200621336","BRONX","1216","BEACH AVENUE","03764","00013","2024720","A1","209",,,"$45000.00","0","Y",,"607","R5","APPLICATION FILED TO CONVERT APARTMENT T  O A USE GROUP 4E,DOCTOR OFFICE WITH A REAR EXTENTION,PLUMBING."
"200622424","BRONX","550","CAULDWELL AVENUE","02623","00135","2091318","A2","201",,"06/02/2000","$75000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.INCLUDIN G OVERHEAD PIPING IN BASEMENT &amp; RISERS. 170 APARTMENTS.NO CHANGE IN USE,EGRESS,O R OCCUPANCY."
"200622424","BRONX","550","CAULDWELL AVENUE","02623","00135","2091318","A2","201",,"06/02/2000","$75000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.INCLUDIN G OVERHEAD PIPING IN BASEMENT &amp; RISERS. 170 APARTMENTS.NO CHANGE IN USE,EGRESS,O R OCCUPANCY."
"200622433","BRONX","671","WESTCHESTER AVENUE","02628","00001","2093934","A2","201",,"06/02/2000","$75000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.INCLUDIN G OVERHEAD PIPING IN BASEMENT &amp; RISERS.1 65 APARTMENTS.NO CHANGE IN USE,EGRESS O OCCUPANCY."
"200622433","BRONX","671","WESTCHESTER AVENUE","02628","00001","2093934","A2","201",,"06/02/2000","$75000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.INCLUDIN G OVERHEAD PIPING IN BASEMENT &amp; RISERS.1 65 APARTMENTS.NO CHANGE IN USE,EGRESS O OCCUPANCY."
"200622442","BRONX","700","EAST  156 STREET","02628","00001","2093932","A2","201",,"06/02/2000","$75000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.INCLUDIN G OVERHEAD PIPING IN BASEMENT &amp; RISERS. 168 APARTMENTS.NO CHANGE IN USE,EGRESS O R OCCUPANCY."
"200622442","BRONX","700","EAST  156 STREET","02628","00001","2093932","A2","201",,"06/02/2000","$75000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.INCLUDIN G OVERHEAD PIPING IN BASEMENT &amp; RISERS. 168 APARTMENTS.NO CHANGE IN USE,EGRESS O R OCCUPANCY."
"200622460","BRONX","645","WESTCHESTER AVENUE","02628","00001","2093928","A2","201",,"06/02/2000","$75000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.INCLUDIN G OVERHEAD PIPING IN BASEMENT &amp; RISERS. 168 APARTMENTS. NO CHANGE IN USE,EGRESS OR OCCUPANCY."
"200622460","BRONX","645","WESTCHESTER AVENUE","02628","00001","2093928","A2","201",,"06/02/2000","$75000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.INCLUDIN G OVERHEAD PIPING IN BASEMENT &amp; RISERS. 168 APARTMENTS. NO CHANGE IN USE,EGRESS OR OCCUPANCY."
"200622479","BRONX","595","TRINITY AVENUE","02623","00135","2091317","A2","201",,"06/02/2000","$75000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.INCLUD'G  OVERHEAD PIPING IN BASEMENT &amp; RISERS. 168 APARTMENTS.NO CHANGE IN USE,EGRESS OCCUPANCY."
"200622479","BRONX","595","TRINITY AVENUE","02623","00135","2091317","A2","201",,"06/02/2000","$75000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.INCLUD'G  OVERHEAD PIPING IN BASEMENT &amp; RISERS. 168 APARTMENTS.NO CHANGE IN USE,EGRESS OCCUPANCY."
"200628687","BRONX","660","ARNOW AVENUE","04507","00048","2093464","A2","211",,,"$45000.00","0",,,"0",,"MODIFICATION OF APARTMENTS FOR HANDICAPP ED ACCESSIBILTY.NO CHANGE IN US ,EGRESS OR OCCUPANCY."
"200628687","BRONX","660","ARNOW AVENUE","04507","00048","2093464","A2","211",,,"$45000.00","0",,,"0",,"MODIFICATION OF APARTMENTS FOR HANDICAPP ED ACCESSIBILTY.NO CHANGE IN US ,EGRESS OR OCCUPANCY."
"200629677","BRONX","635","ARNOW AVENUE","04542","00100","2054714","A2","211",,,"$75000.00","0",,,"0",,"MODIFICATION OF APARTMENTS FOR HANDICAPP ED ACCESSIBILITY.NO CHANGE IN U E,EGRESS OR OCCUPANCY."
"200629677","BRONX","635","ARNOW AVENUE","04542","00100","2054714","A2","211",,,"$75000.00","0",,,"0",,"MODIFICATION OF APARTMENTS FOR HANDICAPP ED ACCESSIBILITY.NO CHANGE IN U E,EGRESS OR OCCUPANCY."
"200636437","BRONX","115","EAST MOSHOLU PARKWAY NORTH","03326","00001","2017719","A2","207",,"04/04/2002","$60000.00","0",,,"0","R7-1","REPLACE FIRE DAMAGED ROOF JOIST. REPAIR ROOF AND PARAPET IN THE FIRE DAMAGED AREA. IN THE 5TH FLOOR APARTMENTS REPAIR WALLS, CEILING, AND FLOORS. REPLACE BATH AND KITCHEN FIXTURES ON EXISTING ROUGHING. REPAIR VENT STACKS. NO CHANGE TO USE, EGRESS, NOR OCCUPANCY."
"200636437","BRONX","115","EAST MOSHOLU PARKWAY NORTH","03326","00001","2017719","A2","207",,"04/04/2002","$60000.00","0",,,"0","R7-1","REPLACE FIRE DAMAGED ROOF JOIST. REPAIR ROOF AND PARAPET IN THE FIRE DAMAGED AREA. IN THE 5TH FLOOR APARTMENTS REPAIR WALLS, CEILING, AND FLOORS. REPLACE BATH AND KITCHEN FIXTURES ON EXISTING ROUGHING. REPAIR VENT STACKS. NO CHANGE TO USE, EGRESS, NOR OCCUPANCY."
"200636437","BRONX","115","EAST MOSHOLU PARKWAY NORTH","03326","00001","2017719","A2","207",,"04/04/2002","$60000.00","0",,,"0","R7-1","REPLACE FIRE DAMAGED ROOF JOIST. REPAIR ROOF AND PARAPET IN THE FIRE DAMAGED AREA. IN THE 5TH FLOOR APARTMENTS REPAIR WALLS, CEILING, AND FLOORS. REPLACE BATH AND KITCHEN FIXTURES ON EXISTING ROUGHING. REPAIR VENT STACKS. NO CHANGE TO USE, EGRESS, NOR OCCUPANCY."
